Date,Symbol,Open,High,Low,Close,Adj Close,Volume
9/14/2018,WMT,94.529999,94.839996,94.349998,94.589996,92.622749,6319400
9/17/2018,WMT,94.75,95.480003,94.370003,94.82,92.847969,5329800
9/18/2018,WMT,94.459999,95.589996,94.150002,95.43,93.445274,6759800
9/19/2018,WMT,95.57,95.889999,94.879997,95.239998,93.259232,5675100
9/20/2018,WMT,95.349998,95.790001,94.949997,95.75,93.758621,5552300
9/21/2018,WMT,95.919998,96.290001,95.629997,95.900002,93.90551,9530100
9/24/2018,WMT,95.440002,96,94.860001,94.919998,92.945877,5337000
9/25/2018,WMT,95.989998,96.519997,94.989998,95.099998,93.122147,6193200
9/26/2018,WMT,95.099998,95.589996,94.519997,94.589996,92.622749,5918600
9/27/2018,WMT,94.190002,94.959999,93.82,94.129997,92.17231,5363400
9/28/2018,WMT,94.279999,94.370003,93.690002,93.910004,91.956902,6306300
10/1/2018,WMT,94.290001,94.660004,94.040001,94.400002,92.436699,4994300
10/2/2018,WMT,93.93,95.610001,93.849998,95.150002,93.171104,7754600
10/3/2018,WMT,95.5,95.540001,94.040001,94.07,92.113564,6327400
10/4/2018,WMT,94.07,94.5,93.199997,94.209999,92.250648,6045300
10/5/2018,WMT,93.860001,94.190002,92.889999,93.309998,91.36937,6693400
10/8/2018,WMT,93.25,94.93,93.019997,94.690002,92.72068,5762600
10/9/2018,WMT,95.639999,97.739998,95.190002,97.080002,95.060959,11598900
10/10/2018,WMT,96.599998,97.849998,95.699997,95.760002,93.768417,9002800
10/11/2018,WMT,95.809998,96.290001,93.599998,93.919998,91.96669,9926500
10/12/2018,WMT,94.760002,95.169998,93.669998,94.809998,92.838165,8553900
10/15/2018,WMT,94.5,94.989998,93.82,93.82,91.868767,8305500
10/16/2018,WMT,94.699997,96.07,94.339996,95.809998,93.817375,11241700
10/17/2018,WMT,95.18,96.620003,94.900002,96.559998,94.551781,9539400
10/18/2018,WMT,96.400002,97.25,95.739998,96.169998,94.169891,11398400
10/19/2018,WMT,96,97.650002,96,97.150002,95.129509,8950700
10/22/2018,WMT,97.339996,97.580002,96.739998,97.139999,95.119713,7122900
10/23/2018,WMT,96.5,97.989998,96.110001,97.800003,95.765991,9405800
10/24/2018,WMT,97.5,99.169998,97.279999,97.559998,95.530983,10364700
10/25/2018,WMT,98.010002,99.480003,97,99.18,97.117294,10737100
10/26/2018,WMT,98.809998,99.669998,98.019997,98.940002,96.882286,14925600
10/29/2018,WMT,99.510002,101.730003,99.089996,99.800003,97.724396,12706100
10/30/2018,WMT,100.209999,102.599998,100.059998,102.419998,100.289909,12708500
10/31/2018,WMT,102.489998,102.489998,100.120003,100.279999,98.194412,12354900
11/1/2018,WMT,99.959999,101.169998,99.720001,100.580002,98.488167,7735100
11/2/2018,WMT,100.879997,101.57,100.309998,101.339996,99.232361,7303200
11/5/2018,WMT,101.190002,103.169998,100.629997,102.910004,100.769707,7616800
11/6/2018,WMT,102.540001,103.440002,102.050003,103.330002,101.180977,6368700
11/7/2018,WMT,103.660004,104.470001,103.050003,104.32,102.150398,8672600
11/8/2018,WMT,104.330002,105.260002,104.029999,104.879997,102.698738,5961400
11/9/2018,WMT,105,105.900002,104.809998,105.559998,103.364594,8450400
11/12/2018,WMT,105.5,106.209999,103.650002,103.870003,101.709747,8943100
11/13/2018,WMT,103.669998,104.150002,102.540001,102.940002,100.799095,7956700
11/14/2018,WMT,103,103.150002,101.010002,101.529999,99.418411,10481900
11/15/2018,WMT,102.32,102.800003,98.620003,99.540001,97.469803,16082600
11/16/2018,WMT,98.82,99.419998,96.919998,97.690002,95.658279,14235200
11/19/2018,WMT,97.940002,98.25,96.43,96.779999,94.767204,9214400
11/20/2018,WMT,94.980003,95.199997,93.599998,94.160004,92.201698,12620600
11/21/2018,WMT,94.360001,94.919998,93.309998,94.169998,92.211487,9350900
11/23/2018,WMT,94.129997,95.550003,94.129997,95.099998,93.122147,4890000
11/26/2018,WMT,95.690002,96.07,94.739998,95.150002,93.171104,10034600
