Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,Algo 1,Algo 2,S&P 500,rolling_covariance,rolling_variance,rolling_beta,0
2018-09-17,-0.00765702180321559,-0.006063883745593413,-0.00878657270173544,-0.021380487576753367,-0.005064159920316772,-0.0031580642567762547,-0.005340339013397255,-3.621752521161413e-06,2.5754884587841837e-05,-0.14062390801281793,-0.008206089520482296
2018-09-18,0.00713578642046131,0.004386624538974981,-0.010175468677581678,0.007880711108140925,0.001881640180327623,0.0034749594493653736,-0.0012517409171408644,-3.831843114599261e-06,2.198835981408475e-05,-0.17426689152797817,0.005101944607776539
2018-09-19,0.0021234096987843287,0.0026727298079747275,-0.001223449471872251,0.005440859269782772,0.0146883193321074,-0.0013955152434511498,-0.0077795786061588545,-5.144058740448246e-06,2.271147805184549e-05,-0.2264959915292809,-0.0029755527147310072
2018-09-20,0.0044272233446502884,0.0062026806893409345,0.009847358503806136,0.01143063565281266,0.011698947165321496,0.0077247988669616454,0.0003686422020228175,-5.9342932016938296e-06,2.107584566710916e-05,-0.2815684502261683,-0.008146662497654573
2018-09-21,-0.0017242490236488715,-0.000370215863891854,-0.006488570206529154,-0.0014848917568850428,-0.004860053853942359,-0.0031136678501748737,0.0035281584725472825,-7.595965462975933e-06,2.1064302507116088e-05,-0.3606084493141803,-0.004379873485369909
2018-09-24,-0.007073149385590226,-0.005287223052095724,-0.0110713847128725,-0.003208576139481556,0.012860483789829477,-0.003643151870721465,0.0013067815445402253,-7.761691864051626e-06,2.1165624996185564e-05,-0.3667121507373595,-0.009076833414415156
2018-09-25,-0.002418887068293407,-0.003652529768253032,-0.011873710551765893,0.004900253819282385,0.001992920132506045,0.0003324828963385785,0.0033001028916335162,-7.226709170734455e-06,2.1429416936319855e-05,-0.33723312175079284,-0.0001720861435406211
2018-09-26,-0.005042602091560378,-0.0025454825690907072,-0.0067726214719406866,0.007576037259142466,0.001034454435626287,-0.0031702001635621328,-0.0027556623198353725,-8.302673276095331e-06,2.084719404683376e-05,-0.39826334697337024,0.005757534431090356
2018-09-27,0.0035268641204164726,0.003482305139706155,-0.0011431421452552384,0.005109456984111249,0.003262266316908909,-0.0018254142177182371,6.863465088935428e-06,-8.907476849639385e-06,1.9930179945903427e-05,-0.4469340906011379,-0.006898168625147175
2018-09-28,0.002185999481846057,0.0020452628483906827,-0.0014764537875477937,-0.0026839094215281856,-0.0001923870757483029,-0.0019745484874826463,-0.0036278589477499734,-7.630097527595503e-06,1.911601273778723e-05,-0.39914691584782463,0.0010844204272785207
2018-10-01,-0.00404589989561166,0.0002508813920356623,0.006181070355752104,-0.005249712633441983,-0.002388237794829361,-0.0013188456190983409,0.0003967941767035743,-5.575630963936222e-06,1.8095095569966443e-05,-0.3081294012721571,0.00942866601015302
2018-10-02,0.0015618134374351114,0.00521383972254319,0.0014704350511609565,-0.009740844662098014,0.0018325473398827128,-0.0065885847974277295,-0.0007109871441219884,-5.306661171153089e-06,1.7973455201237837e-05,-0.29524991782256854,-0.017383630047245968
2018-10-03,0.0025745181017289287,0.0014556101397438235,-0.0037722579448735694,0.0029834842802145545,-0.0005258423053848012,0.006670060745992686,0.00823680646261904,-3.852656150872367e-06,1.8285866142336383e-05,-0.21069038353903827,-0.007288474126980119
2018-10-04,-0.010205606033459548,-0.00866251967902987,-0.00406929087942709,-0.02745843311785634,0.00014369899847184973,-0.013089263150566927,0.005558693776273049,-7.233267200689371e-06,1.7834482774011295e-05,-0.40557762691216415,-0.008323660076217654
2018-10-05,-0.010609217093960677,-0.004302826239727553,-0.0006838080813316161,-0.015004371333451784,-0.003506297741015043,-0.0070222536460457,0.0003952253998191768,-7.295316850983786e-06,1.784193905648742e-05,-0.4088858743372499,-0.0028185402299244484
2018-10-08,-0.0032684941446244893,-0.0006709519716957546,0.01389008423691207,-0.008057520629305094,-0.004039738551821122,-0.005824509431304516,0.0014199712533935482,-7.54498902617198e-06,1.7864457666632338e-05,-0.4223463800003675,0.006969778893011831
2018-10-09,0.001612526367420486,-0.0006487808613754309,-0.012481542893821085,-0.003110534842468149,-0.010404843846170379,-1.2339627524965307e-06,0.033980931047356666,-7.83768858928472e-06,3.737052578590661e-05,-0.20972914949568394,0.0048861936109558055
2018-10-10,-0.02934308237236527,-0.0109697304171108,-0.015192721180025346,-0.053816120281321655,-0.002851123725629432,-0.025833273222290367,0.02100521556826962,-2.5426956416166235e-05,4.449258483791444e-05,-0.5714875076104503,-0.002610332358900624
2018-10-11,-0.012847263550375687,-0.013790454673186623,-0.02713086827268818,0.0014848209948148394,0.0046983114846931295,-0.01603307590398319,-0.014007292754587009,-2.6642386204597972e-05,4.779280240615307e-05,-0.5574560365426051,-0.020023397955790147
2018-10-12,0.010740854098178376,0.0062811391791781634,0.00928922478689076,0.03126234028042707,0.016796267105344362,0.0050375400903487026,0.005940111749715538,-2.330144350914404e-05,4.8326785614775726e-05,-0.4821641500199366,0.01905873831322258
2018-10-15,0.0015870926411105655,0.0027783514853574327,0.004125124007786861,-0.00476775838886534,-0.011152028327865686,0.0016950065697143204,-0.02104330372394947,-2.2619359318180978e-05,5.588580267734122e-05,-0.40474249692313985,-0.008750604131570175
2018-10-16,0.02117650770260404,0.01332782456622561,0.018882885583560327,0.032057964997970645,0.02194950173863578,0.018629825791079045,0.00025274009419029575,-2.2160769053143445e-05,5.5494385593775606e-05,-0.3993335328615487,0.020647759316693454
